Issue Type,Summary,Epic Link,Priority,Story Points,Description,Acceptance Criteria,Due Date,Assignee,Labels,Components
Epic,Pipeline de Videos,WYU-EPIC-001,Critical,34,"Completar y optimizar el pipeline de procesamiento de videos YouTube con transcripciones wayuu","Pipeline completamente funcional sin errores críticos",2025-01-21,,backend;video;youtube,YouTube Processing
Story,Completar Videos Pendientes,WYU-EPIC-001,Critical,8,"Sincronizar todos los videos transcritos en la base de datos","El Himno Nacional transcrito está sincronizado en BD; Todos los 5 videos tienen transcripciones verificadas; No hay videos en estado fallido; El pipeline procesa videos de inicio a fin sin errores",2025-01-07,,backend;database;sync,YouTube Processing
Sub-task,Investigar estado actual del Himno Nacional,WYU-001,Critical,2,"Verificar archivos de transcripción existentes del Himno Nacional y identificar punto de falla en sincronización","Archivos de transcripción identificados; Logs de procesamiento revisados; Punto de falla documentado",2025-01-03,,backend;investigation,YouTube Processing
Sub-task,Sincronizar Himno Nacional en BD,WYU-001,Critical,5,"Desarrollar script de migración manual para sincronizar el Himno Nacional transcrito","Script de migración desarrollado; Integridad de datos validada; Registros actualizados en base de datos",2025-01-05,,backend;database;migration,YouTube Processing
Sub-task,Auditoría completa de videos,WYU-001,Critical,3,"Verificar estado de todos los videos y crear reporte de calidad","Estado de chavo-wayu verificado; Estado de cada video documentado; Reporte de calidad creado",2025-01-07,,backend;audit;quality,YouTube Processing
Story,Optimizar Pipeline de Procesamiento,WYU-EPIC-001,Critical,21,"Implementar procesamiento automático en segundo plano con manejo robusto de errores","Videos se procesan automáticamente al subir; Sistema maneja errores graciosamente; Reintentos automáticos implementados; Notificaciones en tiempo real",2025-01-17,,backend;queue;automation,YouTube Processing
Sub-task,Implementar procesamiento en background,WYU-002,Critical,8,"Implementar queue system con workers para procesamiento asíncrono","Queue system con BullMQ implementado; Workers asíncronos funcionando; Concurrencia manejada correctamente",2025-01-10,,backend;queue;async,YouTube Processing
Sub-task,Mejorar manejo de errores,WYU-002,Critical,5,"Implementar try-catch robusto y logging detallado para yt-dlp","Try-catch robusto implementado; Logging detallado configurado; Fallback strategies definidas",2025-01-12,,backend;error-handling;logging,YouTube Processing
Sub-task,Sistema de reintentos,WYU-002,Critical,3,"Implementar sistema de reintentos con exponential backoff","Exponential backoff implementado; Límites de retry configurados; Dead letter queue configurada",2025-01-14,,backend;retry;queue,YouTube Processing
Sub-task,Notificaciones en tiempo real,WYU-002,Critical,5,"Implementar WebSocket para notificaciones de estado en tiempo real","WebSocket integration completada; Estado de progreso en frontend; Notificaciones opcionales configuradas",2025-01-17,,frontend;websocket;notifications,YouTube Processing
Story,Dashboard de Monitoreo,WYU-EPIC-001,High,13,"Crear dashboard para monitorear el estado de todos los videos en procesamiento","Dashboard muestra estado en tiempo real; Métricas de performance visibles; Alertas para videos fallidos; Historial de procesamiento",2025-01-21,,frontend;monitoring;dashboard,YouTube Processing
Sub-task,Crear métricas de monitoreo,WYU-003,High,5,"Implementar métricas con Prometheus y dashboards de Grafana","Prometheus metrics implementadas; Grafana dashboards creados; Alerting rules configuradas",2025-01-19,,monitoring;prometheus;grafana,YouTube Processing
Sub-task,Panel de administración,WYU-003,High,8,"Crear panel de administración para gestión de videos","Lista de videos con estados implementada; Acciones de gestión disponibles; Logs en tiempo real visibles",2025-01-21,,frontend;admin;management,YouTube Processing
Epic,Procesamiento de PDFs,WYU-EPIC-002,High,55,"Implementar extracción inteligente de contenido wayuu-español de documentos PDF académicos","Sistema de procesamiento de PDFs completamente funcional",2025-02-18,,backend;pdf;nlp,PDF Processing
Story,Extracción Inteligente de PDFs,WYU-EPIC-002,High,47,"Extraer automáticamente palabras wayuu con sus traducciones de PDFs académicos","Sistema procesa PDFs de HF automáticamente; Extrae pares wayuu-español con >85% precisión; Valida calidad del contenido; Integra entradas al diccionario",2025-02-11,,backend;pdf;nlp;ml,PDF Processing
Sub-task,Desarrollar extractor base de PDFs,WYU-004,High,8,"Integrar PyPDF2 y pdfplumber para extracción de texto","PyPDF2 y pdfplumber integrados; Diferentes formatos PDF soportados; Extracción de texto estructurado funcionando",2025-01-28,,backend;pdf;extraction,PDF Processing
Sub-task,Parser específico wayuu-español,WYU-004,High,13,"Desarrollar parser para identificar y extraer traducciones wayuu-español","Regex patterns para traducciones implementados; ML para clasificación implementado; Validación de formato wayuu",2025-02-03,,backend;nlp;parsing;ml,PDF Processing
