Issue Type,Summary,Description,Component,Priority,Labels,Story Points,Epic Link,Status,Assignee,Sprint,Due Date,Reporter,Created Date,Updated Date
Story,Migración Backend NestJS + NLLB-200 + Redis,Integrar NLLB-200 directamente en NestJS con cache Redis distribuido,Backend,Highest,"nestjs,nllb,redis,integration",34,Phase 2: NLLB Translation System,To Do,Fredy Gallego,Sprint 3,2025-02-20,Fredy Gallego,2025-01-03,2025-01-03
Task,Configurar NestJS con módulos NLLB-200,Integrar decoradores y providers para NLLB-200 en arquitectura NestJS,Backend,High,"nestjs,nllb,modules",13,Migración Backend NestJS + NLLB-200 + Redis,To Do,Fredy Gallego,Sprint 3,2025-02-15,Fredy Gallego,2025-01-03,2025-01-03
Task,Implementar Redis como cache layer en NestJS,Cache distribuido con Redis para traducciones NLLB-200,Backend,High,"nestjs,redis,cache",8,Migración Backend NestJS + NLLB-200 + Redis,To Do,Fredy Gallego,Sprint 3,2025-02-18,Fredy Gallego,2025-01-03,2025-01-03
Task,Crear NestJS Guards para rate limiting con Redis,Sistema de rate limiting distribuido usando Redis,Backend,Medium,"nestjs,redis,guards,rate-limiting",5,Migración Backend NestJS + NLLB-200 + Redis,To Do,Fredy Gallego,Sprint 4,2025-02-25,Fredy Gallego,2025-01-03,2025-01-03
Task,NestJS Interceptors para métricas NLLB-200,Interceptors para tracking de performance de traducciones,Backend,Medium,"nestjs,interceptors,metrics",5,Migración Backend NestJS + NLLB-200 + Redis,To Do,Fredy Gallego,Sprint 4,2025-02-28,Fredy Gallego,2025-01-03,2025-01-03
Story,Optimización NestJS para Microservicios,Preparar arquitectura NestJS para migración a microservicios,Backend,High,"nestjs,microservices,architecture",21,Phase 5: Enterprise Architecture,To Do,Fredy Gallego,Sprint 17,2025-09-15,Fredy Gallego,2025-01-03,2025-01-03
Task,NestJS Config Module para microservicios,Configuración centralizada con @nestjs/config,Backend,High,"nestjs,config,microservices",8,Optimización NestJS para Microservicios,To Do,Fredy Gallego,Sprint 17,2025-09-10,Fredy Gallego,2025-01-03,2025-01-03
Task,NestJS Health Checks para Kubernetes,Implementar health checks compatibles con K8s,Backend,Medium,"nestjs,health,kubernetes",5,Optimización NestJS para Microservicios,To Do,Fredy Gallego,Sprint 17,2025-09-12,Fredy Gallego,2025-01-03,2025-01-03
Task,NestJS Swagger para API Documentation,Documentación automática con @nestjs/swagger,Backend,Medium,"nestjs,swagger,documentation",8,Optimización NestJS para Microservicios,To Do,Fredy Gallego,Sprint 17,2025-09-18,Fredy Gallego,2025-01-03,2025-01-03
Story,NestJS + Redis Session Management,Sistema de sesiones distribuido con Redis,Backend,Medium,"nestjs,redis,sessions",13,Phase 6: Community Platform,To Do,Fredy Gallego,Sprint 21,2025-11-10,Fredy Gallego,2025-01-03,2025-01-03
Task,NestJS Passport + Redis para OAuth,Integración OAuth con storage en Redis,Backend,High,"nestjs,passport,redis,oauth",8,NestJS + Redis Session Management,To Do,Fredy Gallego,Sprint 21,2025-11-05,Fredy Gallego,2025-01-03,2025-01-03
Task,NestJS WebSocket + Redis Pub/Sub,Sistema de notificaciones en tiempo real,Backend,Medium,"nestjs,websocket,redis,pubsub",5,NestJS + Redis Session Management,To Do,Fredy Gallego,Sprint 21,2025-11-12,Fredy Gallego,2025-01-03,2025-01-03
Story,NestJS CLI para herramientas desarrollo,Scripts y comandos personalizados para el proyecto,Backend,Low,"nestjs,cli,development",8,Research & Innovation,To Do,Fredy Gallego,Sprint 29,2025-12-10,Fredy Gallego,2025-01-03,2025-01-03
Task,NestJS Custom Decorators para Wayuu,Decoradores específicos para validación de contenido wayuu,Backend,Low,"nestjs,decorators,wayuu",5,NestJS CLI para herramientas desarrollo,To Do,Fredy Gallego,Sprint 29,2025-12-05,Fredy Gallego,2025-01-03,2025-01-03
Task,NestJS Testing con Redis Mock,Suite de testing con Redis mocking,Backend,Medium,"nestjs,testing,redis,mock",3,NestJS CLI para herramientas desarrollo,To Do,Fredy Gallego,Sprint 29,2025-12-12,Fredy Gallego,2025-01-03,2025-01-03 
